,text,labels
926,جعل الله صباحاتك كلها طمأنينة 💛❤ صباح العسل 🍯 @saadlamjarred1 #inspiration #saadlamjarred1 https://t.co/Ovvs0qIDTw,None
927,اي 😂😂😂 https://t.co/T3OWZ0Py92,None
928,@samira_hn لك الزاعجني بكل القصة انو كنت مخططة خلص دراسة وشغل البيت ونام ما بعرف هل واجبات الرسمية بتعصبنية ومجبورة تروحي لانو بيزعلو 😥😭,None
929,@najwakaram شو هالطلّة الحلوة 💖😍#منّي_إلك مبروووك إلِك و إلنا و لكلّ يلّي اشتغلوا فيه و عليه 💿💘#نجوى_كرم 💎 https://t.co/fWicUHXhXL,None
930,@mohammad3217791 انو ايليه شبها 😳,None
931,عم استنى واحد ليغرد لأنو بدي نام 😀😀🙈 https://t.co/ut7cMJWIpF,None
932,كاظم الساهر 😍 يا فخر العراق فيك 😍الله يحميك #ArabIdol @KadimAlSahirORG,None
933,@NajwaKaram تحمست ع شوي رح صرّخ كأني بين الجمهور 😂😭😭#NajwaKaramInMawazine2017,None
934,@kailontop يا ريت,None
935,@najwakaram يا عايش بيني وبين حالي أنا والله حبّيتك 💜,Entertainment
936,@waelkfouryشعنينة مباركة ❤وانشالله بتضل بصحتك ونجاحك والله يخليلك عيلتك ويحميلك البنوتين😍و انشالله تبقى اتطل علينا ❤😘,Entertainment
937,@JustLlady طيب هي علمياً بس ازا منجي عالفعلياً منلاقي انو ما صح تلت رباع الدراسات 😂😂😂😂😂وبعدين لكل قاعدة شواذشيه 😌😏😂,None
938,لما كبير متلك يكرم الكباربليلة الحُب❤رجعت الكل لزمن حلو❤بترفع الراس وترفع لك القبعة❤So proud of u adol@adelkaram9 https://t.co/rjVXSjccHI,None
939,@sanfuraroro بحبك اكنر جحوشتي 😘❤😘,None
940,هجوم كبير على عادل كرم من جماعة سعد الحريري😒إنو عادل من يوم يومو بيمزح و بيتمسخر عالكلو برنامجو كوميدي وهل شي طبيعي@adelkaram9 كلنا معك❤,None
941,@9998Yousef @ni_hd27_ مالك مصلحة تفتح 😂😂,None
942,@najwakaram اللهمَ انظَُر إليها نَظرَة رِضا..فإنّ مَن تَنظُر إليهِ نَظرة رِضا لا تَعَذِبهُ أَبداً ! 🙏🕯❤#GodBeWithNajwaKaram,Entertainment
943,صحيح أنك الأفضل لقيادة العميان، لكن في الظلمة الدامسة دع أحد العميان يقودك ..#نصيحة,None
944,مناخد اول تويت ومنقول صباح الخخخير ☀️,None
945,اراكم لاحقاً 😉,None
946,كلو كوم وهيدول الي ع قناة المرح كوم اريد التعرف على زوجة شهيد 😂😂😂 https://t.co/nn7sKITmkT,None
947,@nglaa_alderi الله يخلين ويحمين,Religion
948,منّي مَ رَح اشفيك 🙇💫 https://t.co/i1tt0K0uFn,None
949,@huda1992k ما شفت شي,None
950,@huda1992k هروب تكتيكي من الجواب 😉,None
951,@IkbelHamdi ممكن تترجمي لي ماذا قال رشيد لو سمحتي اختي,None
952,@kailontop شوف البرلمان البريطاني بتضحك,None
953,@DaadKB جربوع = جرذون 🤔,None
954,الغنية للتاريخ 😂👏#هيدا_حكي https://t.co/yWlrTSXY4A,None
955,@najwakaram كتير مشتاقتلك أنا..بغيابك عم حسّ حالي مخنوقة وضايعة، انو هالقدّ روحي معلّقة فيكي؟! مش عم افهم شو عاملة فيّي وبقلبي والله 😔❤,Entertainment
956,افرح بنجاحك افرح @saadlamjarred1 #غلطانة,None
957,@najwakaram ما أحلاكي وما أغلاكي💞 https://t.co/g5sbosfgEz,None
958,@najwakaram تصبحي على خير 💜💫,Entertainment
959,@barfin_habasch الطبري لم يقتل بل مات ميتة طبيعية،,None
960,@najwakaram الحمدلله على سلامتِك ست نجوى🙏❤,Entertainment
961,صورة حصرية مسربة من داخل اجتماع القمة العربية https://t.co/z2j4ZcKqyI,None
962,يؤسفني قلك طلعت الميزة اليوم بدون تحديث https://t.co/1T1y4iuNus,None
963,و لسا نحن عنا بسوريا بخبرونا انو بدن يقطعو تشابه فظيع 😑👌 https://t.co/fdUt7WSGBZ,None
964,@TaHeR_OtHmAnn برأي هي اسواء عدم السماع به,None
965,السرو' و 'الخيم' الآن نشط في Syria https://t.co/k5pEyVyZd3,None
966,@rachidiimane2 تسلميلي حبيبتي 😘❤😘,None
967,@TBolos أصلاً بهل صورة طالع متل المكدوسة,None
968,@RahafAdra غداااار شو بيشبهك انتي,None
969,@najwakaram الله يحميلنا ياكِ #هيدا_حكي_نجوى_كرم,Entertainment
970,يسألني الفيس بماذا أفكر؟سأقول لك بماذا أفكر إنني اتساءل عن طبيعة الخلل التي ستصيب هذا الكوكب لو كانت رؤيتك الآن في متناولي!#الندم,None
971,بس الغنية خارقة يعني ما بينحكى عليها منوب والله 😂😂😂,None
972,حاسس بالوحدة؟! سكر البرادي و طفي الضو (استغفرالله). و حط فيلم رعب.نص ساعة و ما عاد بتحس انك وحيد.#نصيحة,None
973,@ShamHaya من وين بدنا نجيب سطل يوسع فيول؟,None
974,ضاقت بيك تبقى عايزني أكون حواليكضحكت ليك إخلاصي يكون حمل عليك,None
975,@alaasynk @j_alashkar 😂😂😂😂😂😂😂😂مأندلك ولو,None
976,@najwakaram يماااا قلبي رح يوقّف 😭😭,Entertainment
977,ورح ازحط منن من كتر ما بتحطلن كريم https://t.co/9uQ04v1x5o,None
978,شر البلية ما يضحك بتفرج يا #وطن ...🙌🙏,None
979,@najwakaram حُبّي 💘,Entertainment
980,"العاقل إذا أخطأ "" #يتأسف "" والأحمق إذا أخطأ "" #يتفلسف ""#صباح_الخير😀😀😀",None
981,@KfouryNarmen خليلي ياكي 😘❤😘😘😘,None
982,بدّع الله في خلقنافخلق من العين اثنينو من الاذن اثنينو من القدم اثنين لتساعد كل واحده منها الاخرى ولكن!خلق القلب… https://t.co/ItQY3Ialbd,Religion
983,إعلامية 💔😍 https://t.co/YfbpDKmbsr,None
984,يا عيوني فيها دوبي ما أحلى مرسما 😍🎵@NassifZeytoun,None
985,صوت من صوات الحق انت والي بتنقل الحقيقة فاكيد شوية ولاد بدن يخافوا من أسألتك والحق رح ينتصر بالاخر ..الله يحميكن🙏 https://t.co/vgW7mLfFeX,None
986,@sagastarcasm لسا عايشة,None
987,@lanajundiSKY نقطلك لترتفع التويت ؟😂🙊🙊,None
988,#حلب_نهاية_الحرب........ جيشنا أملنا ✌✌✌✌❤❤,None
989,#عرس الآن نشط في Syria https://t.co/k5pEyVyZd3,None
990,"#توثيق || ارتقاء الطفل "" ابراهيم شحود شيخ شحادة "" جراء استهداف طيران #الإحتلال_الروسي بلدة #قبتان_الجبل في ريف #حلب الغربي صباح اليوم .",None
991,@NajwaKaram الموّااااال 😭😭🔥 #هيدا_حكي,None
992,عّم اكتشف جرحك شو خادمني ..,None
993,كوت تويت| بتحب ستايل اليسا 🙈😻,None
994,@nowarkn الشعب السوري,None
995,@Hind__Sy اكيد بس ايمت الماراتون,None
996,مو حَرام أنا ما أَفَكّر إِلّا بِك!و قَلبي مثل النّار يا غَالي عَليك..و أنتَ ما أقساك.. مو فارِق مَعاك 🌃💭💫https://t.co/AG1yg9ZPiG,None
997,@ALOSHEYOUSSEF @FayrouzOfficial @abdfares96 @LAEAN202 @alooshrabie1 @anghami راجعة بإذن الله ❤🙏,None
998,نوير القلعة الالمانية,None
999,نقابة مهندسي #حماة تكرم 60 مهندسا متقاعدا #صورة_وخبرية #سوريا https://t.co/JMkGu99DBS,None
1000,أنا الماء العكر الذي منحتهم فرصة الاصطياد,None
1001,@samira_hn 😂😂😂بس والله شكلي بدي رجع هل اربع كيلو وزيادة عليهن 😁😂😂,None
1002,@Layal_NK @MarwaElMarouk @najwakaram إنّها مَروى 💁يو كانت آسك هير ذيس كويسشن 😌,None
1003,@najwakaram صوتِك قطعة من الجنة 😭💜#HabibiMinhttps://t.co/U0JWsmMdQa,None
1004,#2YearsWael2015هيدا الالبوم بيعنيلي كتتيروالي معو ذكريات كتيير واول وحدة انو يوم الي نزل هو عيدي 😘❤احلى صدفة بالدني صارت ❤🙈😘@waelkfoury,None
1005,@huda1992k كملي قراءة,None
1006,"لايدرك النائم أنه يحلم إلا بعد ما يستيقظ ، كذلك الغافل عن الآخره لا يدرك ما ضيع إلا بعدما يأتيه الموت!""ربنا لا تجعل… https://t.co/nVEN8HOd0r",None
1007,في الابيض ، اذا ققرت تلحق الموضة بعدين بطلت او قررت تفوت عالجامع متل ما بصير فيي بقعد بدول ع محارم او سي 😂 https://t.co/CICmxH15OW,None
1008,هون بابا كتير نزعج لانو الموظف يسكت ويقلوا كتير حلوة كتير عجبتني ما بيمشي الحال😹,None
1009,@ghanuge_nk الله لا يوفقن هيدا المحل ما بيفضا من الناااس 💔💔😢😢😢,None
1010,@MMalouhi هل رأيت عدد المتابعين ؟,None
1011,@NK_Fans @najwakaram غرامَك يا قَلبي كبير قَدّ ما بدَّك قول وأكتر..لا تفكّر هالقلب زغير عَندو حُبّ وحبّو بيكتَر..… https://t.co/IdJRPjjzuK,Entertainment
1012,@najwakaram wooooow 😍#نجوى_كرم #مجموعة_إنسان ❤#نجوى_كرم_في_مجموعة_إنسان 15 حزيران 🔥 https://t.co/C5uBxKGnaY,None
1013,@limaz_n جاية بنص الحفلة رجعي شوي لورا,None
1014,لو مَرّت عَلَيّ ذِكراك..يفزّ النَبض بِصَدري..#HappyBirthdayNajwaKaram,None
1015,@maajd_majd @waseem_yousef @YouTube بتحسيه متصل ليتفاخر وبس 😁😁,None
1016,@ImaneIbrahim1 نعم,None
1017,@marwanajwa1 مش قدّيييياوّل مرة بنام هالقد اووووول مرةةةة 💔,None
1018,حبّيتك اكتر منهن كلّن..,None
1019,بشرب القهوة بسكر وسط #اعترف_باي_شيء,None
1020,@kailontop المشرق هو مصطلح جيوسياسي ما بتلاقي مطعم تحت هل تصنيف لأن المطبخ التركي والمصري داخل وعندك موروكيان,None
1021,@DuoaaAlmashaan وين دارسة العربي؟,None
1022,@najwakaram بشتَقلِك لا بقدِر شوفِك و بقدِر احكيكِ! 😔💗💫.#نجوى_كرم 💭🌹 https://t.co/LnmNSfmG4s,Entertainment
1023,وزير التعليم العالي عبر الفضائية السورية: لا تعديل هذا العام على مرسوم #الترفع_الاداري لكي يصبح 8 مواد #محليات_سورية,None
1024,سيعوضك الله لأنه يعرف أنك كنت دائما تنتظر الفرج كنت دائما تنتظر نورا من السماوات يمنع انحجاب الضوء عن روحك ولأنك كنت في كل الأحيان تقاوم ..,Religion
1025,الفضائية السورية هي القناة الوحيدة اللي بتنقل أحداث المدينة الفاضلة عند #افلاطون 😃,None
1026,#أنقرة الآن نشط في Syria https://t.co/k5pEyVyZd3,None
1027,@najwakaram عمري انا اللي بيحب البطيييييخ 😍😍😍#JudgeNajwa #نجوى_كرم #ArabsGotTalent,Entertainment
1028,زينها النصرٌ...وعادت شجرةُ الميلاد والزينة إلى حلب بعد غياب سنوات وعاد معها نصرٌ وميلادٌ مجيد.ٌ كله نصرٌ❤✌#هنا_حلب https://t.co/jCU7d7mhKx,Aleppo
1029,حاج ننق ونتباكى ع اطفال كفريا والفوعة,None
1030,@Havana_H ما يحدث قتنة يغذيها البعض ويصفق لها البعض والباقي يستثمرونها اعلاميا,None
1031,وحرام بلحظة يتهدم تاريخي وفخري وامجادي 💔#حلب ... 💔قلبي عليك ماات 💔 https://t.co/ZGr4iXlAvB,None
1032,لو يدري الهوى لو يدرييا ذات العيون الخضر,None
1033,هالصورة عشق😭@najwakaram #NajwaKaramHabibiMin https://t.co/9jk9Mzao30,Entertainment
1034,ما بتسأل ما بسأل اذا انت اعمى انا ميت✋,None
1035,@Sara_almasri7 تكريم لبلد صديق يوجد بالشام نفس الاسم والارجنتين وغيرها,None
1036,@judy_ahmar 😍حبيبة قلبك و قلبي ❤ https://t.co/bi0WhHnXjj,None
1037,@najwakaram 💕#قتلوني_عيونا_السود يا لَيّل المَالوا حدود!😍#نجوى_كرم 🌸https://t.co/U1iDL0kb11,Entertainment
1038,مطلوب غرفتين شرط بمحيط منطقه دمشق القديمه وداخل ابوابها بما لا يتجاوز 25 الف لعدد.. https://t.co/kgf6imsic4 #سورية #دمشق,None
1039,#بحياتي_تعلمت في أمل https://t.co/8K9x0SP8w2,None
1040,@najwakaram عمري انا هالملاك 😢✨,Entertainment
1041,مجتمعين ليحكوا بس و أخرة هل اجتماعات خراب جديد بسوريا💔😒,None
1042,"@najwakaram #نجوى_كرم "" ما بشتري مُشاهدات و أوهام.. بحبّ الحقيقة "" 👌#نجوى_كرم_في_مجموعة_انسان",Entertainment
1043,لينو حبببة قلبي ❤الله يخليلي ياكي رفيقتي انتي ومتل اختي ❤😘الله يسعدك ❤ ويحميكي❤ https://t.co/4WgfysxIUA,None
1044,الدنيا دولاب، لما يقلب هالدولاب لصفك شي يوم للزم تعرف تستغلو مزبوط و الا راحت عليكو راحت علينا 😅️,None
1045,جدول توزيع المي بالشام بيشبه توقعات الفلك والابراج بتعرفهن عم يكذبو عليك و بتضل بتقراهن. #هلوسات_مسائية #DamascusWaterCrisis,None
1046,لا لا لا لا https://t.co/EHRPKFRDlc,None
1047,@najwakaram عم بيسمّولي أسامي وإنت من بين الأساميو أنا عم خبّي غرامي وهنّي حدّي حيرانين#NajwaKaramInMawazine2017,None
1048,اللهم إنَ حلب مَسَّها الضُّرُّوَأَنتَ أَرْحَمُ الرَّاحِمِينَ🙏🏼💙,Aleppo
1049,صباح الخير لكل مكافح قطع نومتو وترك تختو كرمال هالمستقبل اللي مو مبينلو راس من رجلين☀️💛☀️💛☀️,Military_Security
1050,بقولولا شوكولا 🍫بحلب بقولوا :شوكولاطة 🍫#اللهجة_الحلبية,None
1051,#العربية الآن نشط في Syria https://t.co/k5pEyVyZd3,None
1052,قلبي معك يا مشغل البال ملتاعيلي تدوّر مايزيد إلتياعيالمشكلة إنك فاهم كل الاوضاعمالي بالحب يازين داعي يازين داعي… https://t.co/vbLAuTG1Iq,None
1053,#عاجل || الطيران الحربي يستهدف بخمسة غارات جوية الطريق الواصل بين مدينة #الأتارب و #كفر_كرمين في ريف #حلب الغربي .,Military_SecurityAleppo
1054,@poppens_14_ هههههه فعلا غنم 😂😂😂,None
1055,@ElieSarrouf7 @najwakaram كلّنا عنا ثقة بكرم بنت الكرم وحبها للمساعدة🙆موّفق إيلي و انشالله بيتحقق يلّي بتتمناه و أكتر🙏#NajwaKaramMeetElie,Entertainment
1056,#شكلي_اذا رفيقي سهر عندي وقضيناها شلي على ضيوف برنامج السهرة https://t.co/NvChcopxwP,None
1057,ساحة #العباسيين #دمشق اليوم #بعدستي #شوارع_الشام #سوريا https://t.co/4pw6WGoteY,None
1058,@Noor10Ra تدمرت؟ كش برا وبعيد,None
1059,شغلات مزعجة:الناسالاكلشهر الامتحانالمطرتكّات الساعة#يتبع,None
1060,@AishaAltrhuoni شكراً عَايشة 😘 الله يحميكِ 🙏❤,None
1061,صرلي 3 ساعات ناطرة https://t.co/fIGUoyJZWp,None
1062,ورغم كلشي صار فيكي ..#بتضلك_حلووة😍❤#حلب https://t.co/42GajZDsIp,None
1063,حبيبتي ريمو ميرسيوجمعة مباركة عليكي يا قلبي ⁦🙏🏻⁩❤ https://t.co/J9hcpgT8z8,None
1064,@Nathaliehr1 لا هيدا خيك حط خيي بجيبو 😂😂😂😂,None
1065,@raghadWK 😂😂 فظيعين 😂,None
1066,@AliAlrifaai كلام خاطئ,None
1067,@_neowam عطينا حسابه,None
1068,للاسف وهذا الصمت قاتل .. 💔 الله يفرج #كلنا_سعد_المجرد https://t.co/lrr05FUPyI,None
1069,شفتو ل #أيمن_زيدان ياعومريييي 😭❤️😭❤️😭❤️,None
1070,يلا شوفي مسلحين ابعتوهم على ادلب مشان يهاجموا حلب هل هو ذكاء عسكري او غباء او حلب لازم تتحمل مسلحين سوريا كلها مشان ينبسطوا الباقي,Military_SecurityAleppo
1071,@iD7me متى الجيلبريكككك ؟؟ 😭😭😭😭😭😩😩,None
1072,أُوعى تحطّوّا بالمنشن مع حكي تافة و غَلاظة !.,None
1073,@ShamySham8 @BasharDolama 😑😑ياحرام عليكي شو بتعملي فيه لهل الصبي 😅😅😆😆😉😉,None
1074,@MDadoush نحتفظ بحق الرد,None
1075,@HayaMasarji و رح يضل حبي لصوت وائل وأعمال وائل متل ما هو وما ييتغيير 😉😍,None
1076,@najwakaram معقولة حبيبي يشوفوني بعينيك؟!دخيلك خبّيهن لَـ يحسدوني عليك#نجوى_كرم #منّي_إلك ✨https://t.co/4kv4chxThR,None
1077,#القلمون الآن نشط في Syria https://t.co/k5pEyVyZd3,None
1078,"ايوااا كنا ب هايا صرنا ب هياء😂😒اسمي هيا ""هاء ياء ألف ""عم حس بمعاناة وائل كفوري لما بيكتولوا اسمو وايل كافوري 😂😒 https://t.co/Jrnfsj0AhS",None
1079,@najwakaram يا وجّ الخير عليّي.. ❤✨ https://t.co/9m4BxmFmXe,Entertainment
1080,حركات هدول انو انا البنت الكول والي حركاتي واو ودلوعة بلاهن هدول fake وانو انا الشب البدخن وبجاوب الدكتور ومابحضر وهالقصص بتطلع تافه جداً.,None
1081,"شفتو غرابيب سود هيدول المسلحين ""الثوار "" جبهة ...و لواء... و حركة ...ما بيختلفوا عن داعش بشي غير بتفاصيل صغيرة كتيييير. نفس الاجرام 👌",Extremist_Group
1082,فلافل وبطاطا 😂😂😂😂 https://t.co/tGJkADwMJv,None
1083,@najwakaram موَفّقة بالتصوير اليوم و انشالله تكون أُموركون ميَسّرة و كلّ شي عَ ذَوئكون يارَبّ 🙏💕#7abibiMiin 🌸,Entertainment
1084,شكلكن بسنابات الورد متل المهابيل والله :-D,None
1085,اللحظات الأولى للقصف الجوي الروسي على مدينة #دارة_عزة هذا اليوم . https://t.co/eO6RcxXMnk,Military_SecurityRussia
1086,@najwakaram تعا بَوْرِد بقلبي وضلّضلّك لتشتّي الدّنيhttps://t.co/iobZklG0hE#NajwaKaramMenniElak,Entertainment
1087,لا لا لا تتحربق بعد شوية الضحكة تزول 😏 #سوال_موسيقي,None
1088,العرب شغلتن التحليل السياسي والشعر يا عيني شو خطيرين,None
1089,حتى مسلسل باب الحارة صوَّر العنف و القمع و التحكم الذي تمارسه المرأة ضد الرجل في مجتمعنا #يوم_المرأة_العالمي… https://t.co/BkbBYJMoTs,None
1090,اللهم نسألك خير مافي هذا اليوم ونعوذ بك من شره .. يا رب يا ميسر كن معه وبشره بما يتمنى يا الله .. 🙏🏻 #كلنا_سعد_لمجرد,None
1091,@AzzawiSara الترجمة بليز,None
1092,@Reema_nasab عنجد لا شي بشع,None
1093,@Aylaalkurdi في طلعة ع طرطوس وبعهدها على اللاذقية,None
1094,@admahmad1984 عليه من الله مايستحق هو وأمثاله قاعدين برا البلد شاطرين بالحكي ان كانو رجال ينزلو على ساحات الوغى,Religion
1095,@najwakaram 💕#قتلوني_عيونا_السود يا لَيّل المَالوا حدود!😍#نجوى_كرم 🌸https://t.co/U1iDL0kb11,Entertainment
1096,@AfraaNajwa رجعنا نتسلى مع احلام,None
1097,@RanoMouki @omar_mouki97 عائلة سعيدة,None
1098,زاركم النبي حلبية,None
1099,بكمّي الّدمع مسحتو تبِلكِمْ..الدّمع جمَّر حرق كل التياب 😔🔥,None
1100,من امي صلابتهاومن أبي طيابة قلبوفطلعت فلتة زماني 😜😜😂😂 https://t.co/HGjgbfioOr,None
1101,@TheSyrianTweet كمية المشاعر الملخبطة فيه مو معقولة! حزن خوف حب شوق يأس عزيمة خيبة..رشا مبددددعة والممثلين تفوقو عأنفسهم,None
1102,ضهر الخير,None
1103,@kailontop بيضل حالة خاصة,None
1104,@najwakaram نزلت البحر أمعنت النظرلقيت الموج بوجّا خبر 😍,Entertainment
1105,@najwakaram قلبِك شوووو شووووو ؟؟؟#نجوى_كرم_في_مجموعة_انسان,Entertainment
1106,فيروز ، أليسا ، وائل كفوري ، محمد خيري ❤🎶💔😍😍🙈🎶مافي حل وسط صواتن بتجننن 😍😭😭😍,None
1107,@Hasan_Jneed حاج كذب ليكا الناس بالمدارس وأماكن الإيواء,None
1108,@AinSyria غدا 18 آب,None
1109,#قديم_وائل_كفوري #waelkfoury @waelkfoury بعترفلك إني بحبك ...🎶❤,Entertainment
1110,ليش بدك تغيبكل القصة اني حبيتك ما جرحتك ولا ظلمتك,None
1111,الردود 🤣 https://t.co/0YH0wLmY28,None
1112,#عاجل || نسف مواقع الميليشيات الطائفية وسط مباني #منيان غرب #حلب بعربة مسيرة عن بعد .#ملحمة_حلب_الكبرى,Military_SecurityAleppo
1113,"سلمان بن عبدالعزيز, @kingsalman الآن نشط في Syria https://t.co/k5pEyVyZd3",None
1114,@Azrael990 @ali_marraj91 عيد ميلاد الكولينيين العالميين,None
1115,@najwakaram تصبَحي عَلى خَير يا الأنتِ الخَير و أَهلو 🌸💫بحبّك 💘.,Entertainment
1116,@Nameer_ata ارغيلتي انا ما نصفتا من شهر يمكن 😂️ بس غير راس و حط فحم و ارغلك ساعتين و هاي هي ، و كل ما تركتا بدون عسيل كل ما طعمت اكتر 😇️,None
1117,ريالتنا شاطة لأنو https://t.co/5OzBgW7pCM,None
1118,@ghanuge_nk @rama_Sy_elissa غنى روحي سمعي ما في نوم وخلص 👌,None
1119,@Burhan101010101 @Odayovisky @raghaaD_eh @MasaAuf @naseemyacoub @jawad_habbal @Dishevelled18 لانو اخد ١٠ من الفراطة النظاميات حقا,None
1120,@najwakaram انتي الشمس ونجاحك بيحرق الدني 😌🔥,Entertainment
1121,“العقول مثلها مثل الأجسام ، غالبا ما تسوء حالتها جراء الراحة الزائدة.”“تشارلز ديكنز.”,None
1122,وُلـِدَ الـْهـدَى فَـالْـكَاِئـنَـاتُ ضِـيـَاءُ صَلّوا عَلى مَن بَكى شَوقًا لرؤيتنا اللهم صلي وسلم على سيدنا محمد https://t.co/lHnPqx9VCX,Religion
1123,@NajwaKaram هالحفلة كانت بتسوى تاريخ كلّ يلّي مسمّايين حالهن فنّانين ✨#NajwaKaramInMawazine2017,None
1124,@najwakaram شفتك بعيوني شفتكضحكاتي عم تقتلهاكذّبت عيوني وبرّيتكماصدّقت بتعملها.. 💔#نجوى_كرم #منّي_إلك https://t.co/0kCqpk09gf,Entertainment
1125,@fakihn انا معك ناصر بانو عطول في ضحايا ابرياءبس حلب تتحرر بتشوف الاحتفالت بالشوارع شو فرحت الناس شوف فرحت الحلبي,None
1126,@Abdelazez71 فصحى,None
1127,“قلبك إن توجَّه لله ، نال المُنى وأكثر”💞🎀💓,Religion
1128,@alaasynk 😂😂😂يلا سنعود بعد قليل,None
1129,@TheSyrianTweet ليش هيك ريحة الاوضة 😷,None
1130,@ezztbe وين البيت,None
1131,@najwakaram طَمنينا عَنّك لمّا تقدَري .. ووخَبرينا 🙈انتبهي عَلى حالِك منيح من كلّ شي و خصوصاً البَرد 😘 بحبّك 💘#7abibiMiin 🌸,Entertainment
1132,الإنسان البحبّ ما فينا نحكي علية 😍❤@najwakaram #نجوى_كرم_في_مجموعة_انسان,Entertainment
1133,قال أبو الدرداء لأم الدرداء:إذا غضبت فرضَّيني وإذا غضبتِ رضَّيتكفإذا لم نكن هكذا ما أسرع ما نفترق!#روضة_العقلاء… https://t.co/l4mtWUoA1F,None
1134,@91_imad منشر غسيلك,None
1135,استنفاااارررر 💃 #نجوى_كرم جاية 🙈,None
1136,@najwakaram او يمكن بعرف بس بحس انو حُبّي الك أكبر من ايّا كلام😔❤,Entertainment
1137,انتَ احلى الناس في نظري جلّ من سواك يا قمري 💞❤😍@waelkfoury https://t.co/ORH4THb88O,None
1138,@RawanAshmar حي الله اهلنا بفلسطين,None
1139,@najwakaram حَبيبي مين؟.. مين؟؟ حَبيبي مين..💗حَياتي مين؟.. مين؟؟ حَياتي مين..💘#NKMusicDay #HabibiMin MV #نجوى_كرم… https://t.co/Okv0umEIWu,None
1140,ياربّ استحي ع دمّي وادرس بقا,None
1141,@najwakaram ما بَدّي عيش بأوهام..إنسى حالي وفَكِّر فيكإذا ما بقلبَك وحدي بنام..ما فيّي ضوّي لياليك#نجوى_كرم ✨https://t.co/UJNJ4uwhZc,Entertainment
1142,@toulz12 ما بتنزل غير مباشر,None
1143,حدا قلك عندي خدمة الأخبار العاجلة؟ https://t.co/GLrtcwwlm5,None
1144,@NajwaKaram صحي شفت متل سيارتك وبيضا ونمرتها لبنانية كمان، كنت غبت عن الوعي لو مش حافظة نمرة سيارتك😭😭,Entertainment
1145,@poppens_14_ وصباحك اسعد من رب العالمين ..ياهلاااا 😄,None
1146,⁩تبقى ٢٢ يوم و15ساعة و 43 دقائق من الآن على مؤتمر ابل للمطورينبمشيئة الله تبارك… https://t.co/T2J8EeAfmL,None
1147,@Reema_nasab عادي كم يوم وبيتعود الجسم وبيبطل يتحسس :-P,None
1148,@ShamySham8 الاربعة ها مو الخمسة 😂😂,None
1149,نشالله هيك كل ٥ ب ١ وانتو بخرا 💡☺️,None
1150,@najwakaram كلّ ما تجنّ بشوفَك أَحلى 💆#نجوى_كرم #يخرب_بيتك حَبيّتَك ❣💫https://t.co/pgSaAkv4S9,Entertainment
1151,هكذا يتم إسعاف المصابين في مدينة #حلب بعد نفاذ القود.#StandWithAleppo https://t.co/WsjRgXkK87,Anti-RegimeAleppo
1152,""" من نافَسَكَ في دِينِك فنافسهُ، ومن نافَسَكَ في دُنياك فألقها في نَحْره ""الحسن البصري",None
1153,@hamshare50 @Alaaksa15 فعلا شكلهم عم يخبصوا 😑,None
1154,@AdelsGrail يا رب,None
1155,@znzoooon84 في مغنية مغربية اسمها صوفيا المريخ بالمناسبة,None
1156,@waelkfoury كل اغانيك بدنيا واغاني البوم الغرام المستحيل بدنيا 😍,None
1157,قدرنا ان نضحي لتحرير سورية من الارهاب المتوحش متعدد الجنسيات كما حررناها من التتار والمغول وينتصر شعبنا وجيشنا العربي السوري الباسل,Pro-RegimeMilitary_Security
1158,آذان الفجر,None
1159,أنا خوفي يا حبي لتكون بعدك حبي متهيألي نسيتك وأنت مخبا بـقلبي ...🎶❤,None
1160,"ما نرسمه اليوم هو ما يحدد ""بوكرا""..لسنا انبياء لكنّي أبني لأكون قدوة ❤@najwakaram #نجوى_كرم أنتِ قدوتنا يلّي منفتخر فيها 😌",None
1161,@najwakaram وانتي بحياتي بستحي اطلب من ربّي شي تاني 😟❤,Entertainment
1162,تدمير فرع المرور في #حلب المتخذ ثكنة عسكرية لقوات النظام بنفق تحت الأرض ونسفه بالكامل و مقتل العشرات داخل المبنىhttps://t.co/ETTtSmCjFj,Military_Security
1163,@_ashtarrr_ ولومي لومي,None
1164,أقصر قصة مؤلمة ..السؤال : ( مَا سَلَكَكُمْ فِي سَقَرَ ) الجواب : ( قَالُوا لَمْ نَكُ مِنَ الْمُصَلِّينَ ),None
1165,@najwakaram أنا متلك بدّي طلّ يا قمر العشّاقوما خلّي حدا يفلّ حتّى الكلّ يشتاق#نجوى_كرم #قمر_العشاقhttps://t.co/6cJ5e5NJU6,Entertainment
1166,@alaasynk @NawafOsaimi @j_alashkar اينو جنة ؟؟ليش في جنة وفي نار ؟؟ليش في الله اساسا ؟؟؟؟شو عم تحكي انت ؟؟؟؟,None
1167,🔴#شباب حلب يطلقون حملة نحنا #الهيبة 🖤 https://t.co/r2rinDeLfZ,None
1168,@houdanajwania @ghanuge_nk امين الله يكملها معنا ✌👍🙏🙏,None
1169,@3adraaa 😂😂😂😂لكن لكن لك عميييي,None
1170,توما' الآن نشط في Syria https://t.co/k5pEyVyZd3,None
1171,لولا السيف، لانتهت أديان كثيرة ..,None
1172,#عاجل || طيران #الإحتلال_الروسي يستهدف بالصواريخ الفراغية بلدة #ترمانين في ريف #إدلب الشمالي .,None
1173,صورة البروفايل بتجنن @FarrahYousef 🙈😍 https://t.co/bIPee5LIor,None
